# z23 benchmark history.
# Columns: date, commit, bench, value, unit, notes.
# Numeric value rows are regression-gated by build/bin/z23 -bench-regress.
# Empty value rows are pending/skipped measurements and are ignored by the gate.
# Bench names follow docs/USER_BENCHMARKS.md primaries #1..#5.
# Append-only: do not rewrite old rows; add a correction row instead.
date,commit,bench,value,unit,notes
2026-07-29T13:20:26Z,49a734c7a-dirty,crypto-vs-rust sha256,471.578,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 2120542 ops/sec
2026-07-29T13:20:26Z,49a734c7a-dirty,crypto-vs-rust sha3-256,1684.498,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 593649 ops/sec
2026-07-29T13:20:26Z,49a734c7a-dirty,crypto-vs-rust blake2b,826.297,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 1210219 ops/sec
2026-07-31T13:28:04Z,a90bdf6d4-ed25519-straus,crypto-vs-rust equihash-200-9,108645.826,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 9204 ops/sec
2026-07-31T13:28:04Z,a90bdf6d4-ed25519-straus,crypto-vs-rust bls12-381-fp-mul,30.463,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 32826834 ops/sec
2026-07-31T13:28:04Z,a90bdf6d4-ed25519-straus,crypto-vs-rust bls12-381-pairing,1121037.786,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 892 ops/sec
2026-07-31T13:28:04Z,a90bdf6d4-ed25519-straus,crypto-vs-rust secp256k1-ecdsa-verify,48416.725,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 20654 ops/sec
2026-07-31T13:28:04Z,a90bdf6d4-ed25519-straus,crypto-vs-rust ed25519-verify,693281.835,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 1442 ops/sec
2026-07-31T13:28:04Z,a90bdf6d4-ed25519-straus,crypto-vs-rust sha256,471.033,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 2122993 ops/sec
2026-07-31T13:28:04Z,a90bdf6d4-ed25519-straus,crypto-vs-rust sha3-256,1685.473,ns/op,median C ns/op; host-relative; x86-64-v3 shipped default (AVX2/FMA/BMI2; SHA-NI and AVX-512 compiled OUT); vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 593305 ops/sec
